"","seqnames","start","end","width","strand","idr_name","scaled_idr","idr_strand","local_idr","global_idr","rep1_chromstart","rep1_chromend","rep1_signal","rep2_chromstart","rep2_chromend","rep2_signal","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","ens_transcript",".","distanceToTSS","ens_genes"
"241","chr2",37442982,37443312,331,"*",".",785,".",1.73,1.89,37443103,37443285,25.5086,37442981,37443312,37.29482,"Promoter",2,37443279,37495589,52311,1,"227800","ENSMUST00000133434","7",0,"ENSMUSG00000035437"
"242","chr2",105016992,105017171,180,"*",".",758,".",1.62,1.83,105017024,105017171,25.5086,105016991,105017159,32.18621,"Promoter",2,104999656,105017080,17425,2,"98221","ENSMUST00000028592","11",0,"ENSMUSG00000027170"
"243","chr4",155308110,155308385,276,"*",".",735,".",1.52,1.77,155308199,155308339,25.5086,155308109,155308385,29.70004,"Intron (ENSMUST00000103178.10/18762, intron 1 of 14)",4,155294278,155301171,6894,2,"18762","ENSMUST00000125320","1",-6939,"ENSMUSG00000029053"
"244","chr7",92637077,92637219,143,"*",".",744,".",1.57,1.79,92637087,92637219,25.5086,92637076,92637212,30.63726,"Promoter",7,92581723,92637102,55380,2,"73845","ENSMUST00000056106","13",0,"ENSMUSG00000041343"
"245","chr7",109986431,109986589,159,"*",".",774,".",1.69,1.86,109986430,109986554,25.5086,109986430,109986589,34.71858,"Promoter",7,109972187,109986451,14265,2,"233724","ENSMUST00000094097","11",0,"ENSMUSG00000047554"
"246","chr8",13757586,13757706,121,"*",".",678,".",1.31,1.63,13757595,13757706,25.5086,13757585,13757705,26.06316,"Promoter",8,13757676,13766497,8822,1,"69957","ENSMUST00000130173","8",0,"ENSMUSG00000038416"
"247","chrX",101429579,101429722,144,"*",".",744,".",1.57,1.79,101429589,101429717,25.5086,101429578,101429722,30.63726,"Promoter",20,101429735,101442431,12697,1,"53610","ENSMUST00000126019","1",-13,"ENSMUSG00000031311"
"248","chr11",3452328,3452572,245,"*",".",732,".",1.52,1.76,3452327,3452474,25.46407,3452340,3452572,29.49694,"Promoter",11,3415982,3452363,36382,2,"193670","ENSMUST00000064364","2",0,"ENSMUSG00000020448"
"249","chr8",110997767,110997928,162,"*",".",779,".",1.72,1.88,110997773,110997900,25.46407,110997766,110997928,37.69499,"Promoter",8,110974996,110997800,22805,2,"13680","ENSMUST00000040416","7",0,"ENSMUSG00000015023"
"250","chr4",108847758,108847898,141,"*",".",548,".",0.81,1.32,108847773,108847898,37.09899,108847757,108847897,25.40094,"Promoter",4,108847785,108849413,1629,1,"100087","ENSMUST00000102738","3",0,"ENSMUSG00000073775"
"251","chr1",87214175,87214520,346,"*",".",781,".",1.72,1.88,87214196,87214397,25.28278,87214174,87214520,45.0593,"Promoter",1,87214286,87228064,13779,1,"26987","ENSMUST00000113231","3",0,"ENSMUSG00000026254"
"252","chr11",58978014,58978147,134,"*",".",769,".",1.67,1.85,58978014,58978143,25.27222,58978013,58978147,34.71858,"Promoter",11,58978093,58991455,13363,1,"94091","ENSMUST00000108809","7",0,"ENSMUSG00000020455"
"253","chr13",8870978,8871181,204,"*",".",781,".",1.72,1.88,8870982,8871156,25.27222,8870977,8871181,41.35255,"Promoter",13,8802995,8871044,68050,2,"207615","ENSMUST00000021572","10",0,"ENSMUSG00000021147"
"254","chr13",17993268,17993536,269,"*",".",780,".",1.72,1.88,17993305,17993435,25.27222,17993267,17993536,42.68264,"Promoter",13,17981330,17993349,12020,2,"67008","ENSMUST00000099735","5",0,"ENSMUSG00000075054"
"255","chr17",35134791,35135059,269,"*",".",774,".",1.69,1.87,35134836,35134951,25.27222,35134790,35135059,36.00135,"Promoter",17,35135178,35147305,12128,1,"224727","ENSMUST00000166426","8",-119,"ENSMUSG00000024392"
"256","chr12",75669642,75669885,244,"*",".",731,".",1.52,1.76,75669670,75669885,25.26102,75669641,75669871,29.49694,"Promoter",12,75630596,75669537,38942,2,"72338","ENSMUST00000062370","8",-105,"ENSMUSG00000045690"
"257","chr16",33184982,33185127,146,"*",".",760,".",1.63,1.83,33184984,33185126,25.26102,33184981,33185127,32.40611,"Promoter",16,33185071,33243266,58196,1,"106326","ENSMUST00000232100","1",0,"ENSMUSG00000022807"
"258","chr13",34875280,34875530,251,"*",".",745,".",1.57,1.8,34875416,34875530,25.16444,34875279,34875513,30.93627,"Promoter",13,34875302,34906064,30763,1,"19134","ENSMUST00000077853","4",0,"ENSMUSG00000021413"
"259","chr3",155093080,155093346,267,"*",".",777,".",1.71,1.87,155093190,155093320,25.15492,155093079,155093346,37.92897,"Promoter",3,155087719,155093197,5479,2,"75540","ENSMUST00000194095","1",0,"ENSMUSG00000053870"
"260","chr14",47298153,47298334,182,"*",".",685,".",1.34,1.65,47298152,47298329,25.13414,47298152,47298334,26.14284,"Promoter",14,47298269,47323095,24827,1,"218975","ENSMUST00000166743","8",0,"ENSMUSG00000021840"
"261","chr11",29526353,29526466,114,"*",".",610,".",1.06,1.47,29526356,29526462,29.25881,29526352,29526466,25.07813,"Promoter",11,29526408,29533397,6990,1,"76784","ENSMUST00000133452","7",0,"ENSMUSG00000020459"
"262","chr9",105053176,105053302,127,"*",".",641,".",1.19,1.55,105053179,105053299,25.5086,105053175,105053302,25.04808,"Promoter",9,105053239,105076472,23234,1,"94062","ENSMUST00000149243","7",0,"ENSMUSG00000032563"
"263","chr9",108460291,108460600,310,"*",".",644,".",1.2,1.55,108460395,108460600,25.5086,108460290,108460590,25.04808,"Promoter",9,108460527,108465938,5412,1,"72454","ENSMUST00000061209","6",0,"ENSMUSG00000049305"
"264","chr11",101253624,101253925,302,"*",".",725,".",1.51,1.75,101253641,101253750,25.0339,101253623,101253925,69.1406,"Promoter",11,101253707,101258049,4343,1,"28084","ENSMUST00000007533","14",0,"ENSMUSG00000078656"
"265","chr11",99385941,99386385,445,"*",".",716,".",1.47,1.72,99385941,99386271,24.58826,99385940,99386385,28.36758,"Promoter",11,99385267,99386097,831,2,"16661","ENSMUST00000211768","1",0,"ENSMUSG00000019761"
"266","chr16",32247041,32247309,269,"*",".",706,".",1.44,1.7,32247097,32247296,24.42894,32247040,32247309,28.11169,"Promoter",16,32230112,32247158,17047,2,"268882","ENSMUST00000042732","5",0,"ENSMUSG00000035764"
"267","chr3",130730199,130730469,271,"*",".",763,".",1.64,1.84,130730299,130730466,24.42894,130730198,130730469,33.4436,"Promoter",3,130726831,130730337,3507,2,"68436","ENSMUST00000062601","13",0,"ENSMUSG00000062006"
"268","chr12",65172593,65172898,306,"*",".",771,".",1.68,1.86,65172597,65172898,24.28631,65172592,65172879,45.26667,"Promoter",12,65132734,65172604,39871,2,"217653","ENSMUST00000140391","7",0,"ENSMUSG00000047534"
"269","chr17",33890728,33890947,220,"*",".",759,".",1.62,1.83,33890764,33890869,24.28631,33890727,33890947,32.9497,"Promoter",17,33875659,33890661,15003,2,"100502766","ENSMUST00000173492","8",-67,"ENSMUSG00000079553"
"270","chr17",40934431,40934739,309,"*",".",691,".",1.37,1.67,40934484,40934718,24.28631,40934430,40934739,27.07493,"Promoter",17,40934685,40961988,27304,1,"17850","ENSMUST00000169611","3",0,"ENSMUSG00000023921"
"271","chr17",78936980,78937123,144,"*",".",668,".",1.28,1.61,78937002,78937112,24.28631,78936979,78937123,26.04858,"Promoter",17,78919006,78937066,18061,2,"12607","ENSMUST00000024885","9",0,"ENSMUSG00000024081"
"272","chr19",7217524,7217768,245,"*",".",772,".",1.69,1.86,7217523,7217670,24.28631,7217524,7217768,45.26667,"Promoter",19,7215153,7217616,2464,2,"12868","ENSMUST00000039758","5",0,"ENSMUSG00000035885"
"273","chr2",94010691,94010906,216,"*",".",685,".",1.34,1.65,94010729,94010906,24.28631,94010690,94010906,26.14284,"Promoter",2,93980550,94010807,30258,2,"69113","ENSMUST00000111240","7",0,"ENSMUSG00000040174"
"274","chr3",87930135,87930349,215,"*",".",773,".",1.69,1.86,87930134,87930349,24.28631,87930144,87930348,36.00135,"Promoter",3,87922905,87930144,7240,2,"229503","ENSMUST00000005016","15",0,"ENSMUSG00000004896"
"275","chr4",59783784,59784058,275,"*",".",651,".",1.22,1.57,59783850,59784004,24.28631,59783783,59784058,25.04808,"Promoter",4,59769637,59783866,14230,2,"66209","ENSMUST00000095063","10",0,"ENSMUSG00000038544"
"276","chr5",142367332,142367780,449,"*",".",696,".",1.39,1.68,142367365,142367497,24.28631,142367331,142367780,27.24944,"Distal Intergenic",5,142401497,142419620,18124,1,"17425","ENSMUST00000198422","1",-33717,"ENSMUSG00000056493"
"277","chr7",27553151,27553286,136,"*",".",738,".",1.54,1.78,27553150,27553283,24.28631,27553150,27553286,29.70004,"Promoter",7,27532000,27553212,21213,2,"18807","ENSMUST00000117095","7",0,"ENSMUSG00000003363"
"278","chr7",34168531,34168647,117,"*",".",749,".",1.58,1.8,34168545,34168647,24.28631,34168530,34168644,30.93719,"Promoter",7,34140688,34168575,27888,2,"50995","ENSMUST00000102746","10",0,"ENSMUSG00000052997"
"279","chr8",105297549,105297738,190,"*",".",729,".",1.51,1.76,105297576,105297718,24.28631,105297548,105297738,29.49694,"Promoter",8,105297663,105305370,7708,1,"104394","ENSMUST00000015003","9",0,"ENSMUSG00000014859"
"280","chr8",122476048,122476220,173,"*",".",775,".",1.7,1.87,122476051,122476220,24.28631,122476047,122476204,38.59873,"Promoter",8,122476143,122483092,6950,1,"66965","ENSMUST00000116412","7",0,"ENSMUSG00000049482"
"281","chr9",21592747,21592959,213,"*",".",770,".",1.68,1.86,21592806,21592959,24.28631,21592746,21592959,36.49418,"Promoter",9,21588682,21592772,4091,2,"74766","ENSMUST00000078572","8",0,"ENSMUSG00000032182"
"282","chr17",86145049,86145327,279,"*",".",588,".",1,1.42,86145125,86145281,27.99528,86145048,86145327,24.17765,"Promoter",17,85984665,86145175,160511,2,"78586","ENSMUST00000095187","3",0,"ENSMUSG00000024135"
"283","chr14",70100018,70100170,153,"*",".",766,".",1.65,1.85,70100032,70100170,24.16054,70100017,70100166,34.71858,"Promoter",14,70100105,70138206,38102,1,"57784","ENSMUST00000022680","8",0,"ENSMUSG00000022089"
"284","chr19",5366521,5367022,502,"*",".",763,".",1.64,1.84,5366598,5367004,24.16054,5366520,5367022,34.12132,"Promoter",19,5364640,5366791,2152,2,"23825","ENSMUST00000237704","1",0,"ENSMUSG00000024844"
"285","chr7",16406071,16406422,352,"*",".",767,".",1.66,1.85,16406070,16406347,24.16054,16406108,16406422,43.91402,"Intron (ENSMUST00000214735.1/330474, intron 1 of 1)",7,16401207,16437696,36490,1,"330474","ENSMUST00000209289","1",4864,"ENSMUSG00000059273"
"286","chr15",78934856,78935087,232,"*",".",607,".",1.06,1.46,78934865,78934994,26.51042,78934855,78935087,24.10352,"Promoter",15,78934933,78943638,8706,1,"97961","ENSMUST00000138880","8",0,"ENSMUSG00000033099"
"287","chr12",87443804,87443965,162,"*",".",557,".",0.84,1.34,87443821,87443965,31.90113,87443803,87443924,24.09414,"Promoter",12,87426169,87443839,17671,2,"211064","ENSMUST00000162961","7",0,"ENSMUSG00000079036"
"288","chr1",164307116,164307582,467,"*",".",768,".",1.67,1.85,164307239,164307566,24.07469,164307115,164307582,36.49418,"Promoter",1,164289800,164307484,17685,2,"66352","ENSMUST00000027866","10",0,"ENSMUSG00000026577"
"289","chr15",102350671,102350864,194,"*",".",769,".",1.67,1.85,102350680,102350851,24.06258,102350670,102350864,41.50181,"Promoter",15,102350827,102355139,4313,1,"102640093","ENSMUST00000229977","1",0,"ENSMUSG00000116402"
"290","chr13",34874412,34874575,164,"*",".",765,".",1.64,1.84,34874441,34874570,24.04831,34874411,34874575,34.71858,"Promoter",13,34875302,34906064,30763,1,"19134","ENSMUST00000077853","4",-727,"ENSMUSG00000021413"
"291","chr5",33936395,33936575,181,"*",".",622,".",1.11,1.5,33936394,33936575,24.28631,33936404,33936550,24.02815,"Promoter",5,33897916,33936413,38498,2,"24116","ENSMUST00000030993","7",0,"ENSMUSG00000029111"
"292","chr7",80261089,80261267,179,"*",".",755,".",1.61,1.82,80261121,80261253,23.97455,80261088,80261267,49.37863,"Promoter",7,80261215,80265374,4160,1,"83485","ENSMUST00000117989","1",0,"ENSMUSG00000047084"
"293","chr3",32736748,32737115,368,"*",".",563,".",0.86,1.36,32736751,32737065,30.06696,32736747,32737115,23.96549,"Promoter",3,32736990,32751566,14577,1,"66046","ENSMUST00000127477","7",0,"ENSMUSG00000027673"
"294","chr4",46450641,46451154,514,"*",".",597,".",1.03,1.44,46450724,46451098,26.39642,46450640,46451154,23.96549,"Promoter",4,46450902,46472657,21756,1,"67628","ENSMUST00000102926","4",0,"ENSMUSG00000028333"
"295","chr5",147860479,147860661,183,"*",".",541,".",0.78,1.3,147860540,147860661,32.82537,147860478,147860661,23.96549,"Promoter",5,147860628,147875521,14894,1,"66537","ENSMUST00000201376","3",0,"ENSMUSG00000029649"
"296","chr17",36951625,36951794,170,"*",".",761,".",1.63,1.83,36951662,36951794,23.85069,36951624,36951790,34.12132,"Promoter",17,36948356,36951713,3358,2,"76497","ENSMUST00000040402","13",0,"ENSMUSG00000036398"
"297","chr12",81532844,81532987,144,"*",".",715,".",1.47,1.72,81532878,81532987,23.84372,81532843,81532987,28.36758,"Promoter",12,81358860,81532905,174046,2,"105940408","ENSMUST00000164386","7",0,"ENSMUSG00000021139"
"298","chr10",77515781,77515919,139,"*",".",719,".",1.48,1.73,77515780,77515895,23.76424,77515793,77515919,28.47508,"Promoter",10,77486661,77515785,29125,2,"108707","ENSMUST00000045454","8",0,"ENSMUSG00000032977"
"299","chr9",124423677,124423906,230,"*",".",573,".",0.93,1.38,124423678,124423902,26.74507,124423676,124423906,23.7045,"Intron (ENSMUST00000180270.1/ENSMUST00000180270.1, intron 1 of 1)",9,124474342,124476898,2557,2,"19054","ENSMUST00000217354","1",52992,"ENSMUSG00000093803"
"300","chr15",58415380,58415523,144,"*",".",698,".",1.4,1.68,58415389,58415505,23.69394,58415379,58415523,27.2563,"Promoter",15,58415468,58457740,42273,1,"210998","ENSMUST00000037270","4",0,"ENSMUSG00000037119"
"301","chr11",106065943,106066112,170,"*",".",764,".",1.64,1.84,106065945,106066082,23.56934,106065942,106066112,43.91402,"Promoter",11,106066061,106073612,7552,1,"70207","ENSMUST00000002048","7",0,"ENSMUSG00000001983"
"302","chr6",72616728,72616911,184,"*",".",571,".",0.92,1.38,72616727,72616911,26.74507,72616739,72616908,23.5105,"Promoter",6,72608432,72617000,8569,2,"22134","ENSMUST00000070524","4",89,"ENSMUSG00000056429"
"303","chr11",97782407,97782527,121,"*",".",549,".",0.82,1.32,97782410,97782522,29.19332,97782406,97782527,23.47207,"Promoter",11,97777527,97782437,4911,2,"65019","ENSMUST00000103146","4",0,"ENSMUSG00000071415"
"304","chr15",79670747,79670932,186,"*",".",722,".",1.49,1.74,79670749,79670932,23.40533,79670746,79670918,57.84917,"Promoter",15,79670861,79673400,2540,1,"223696","ENSMUST00000023062","4",0,"ENSMUSG00000022427"
"305","chr7",126695838,126696004,167,"*",".",752,".",1.59,1.81,126695848,126696000,23.40533,126695837,126696004,49.39516,"Promoter",7,126695966,126696693,728,1,"66162","ENSMUST00000052145","5",0,"ENSMUSG00000047721"
"306","chr1",87755815,87756104,290,"*",".",576,".",0.94,1.39,87755829,87756083,26.27004,87755814,87756104,23.28664,"Promoter",1,87755870,87771398,15529,1,"77040","ENSMUST00000144047","7",0,"ENSMUSG00000026289"
"307","chr6",113046094,113046489,396,"*",".",717,".",1.47,1.73,113046093,113046384,23.25405,113046099,113046489,28.36758,"Promoter",6,113046225,113068273,22049,1,"14911","ENSMUST00000032398","14",0,"ENSMUSG00000030264"
"308","chr17",46711358,46711512,155,"*",".",593,".",1.01,1.43,46711374,46711486,24.16054,46711357,46711512,23.25138,"Promoter",17,46711463,46725541,14079,1,"224824","ENSMUST00000002840","8",0,"ENSMUSG00000002763"
"309","chr2",119662782,119662924,143,"*",".",749,".",1.58,1.81,119662794,119662912,23.10191,119662781,119662924,50.18563,"Promoter",2,119655446,119662820,7375,2,"69702","ENSMUST00000110801","7",0,"ENSMUSG00000027305"
"310","chr1",121567834,121568072,239,"*",".",733,".",1.52,1.77,121567925,121568058,23.07868,121567833,121568072,29.70004,"Promoter",1,121553835,121567989,14155,2,"66942","ENSMUST00000001724","11",0,"ENSMUSG00000001674"
"311","chr10",22731278,22731582,305,"*",".",604,".",1.04,1.46,22731277,22731526,23.07868,22731362,22731582,23.23768,"Promoter",10,22703879,22731447,27569,2,"237336","ENSMUST00000127698","7",0,"ENSMUSG00000071359"
"312","chr11",30954332,30954484,153,"*",".",690,".",1.36,1.66,30954356,30954484,23.07868,30954331,30954459,26.22914,"Promoter",11,30954395,31102704,148310,1,"65257","ENSMUST00000020551","12",0,"ENSMUSG00000020305"
"313","chr12",69296562,69296752,191,"*",".",754,".",1.6,1.82,69296561,69296737,23.07868,69296565,69296752,33.44677,"Promoter",12,69296681,69301117,4437,1,"69554","ENSMUST00000151571","1",0,"ENSMUSG00000020978"
"314","chr12",110889071,110889219,149,"*",".",700,".",1.41,1.69,110889092,110889208,23.07868,110889070,110889219,27.26266,"Promoter",12,110872610,110889145,16536,2,"67236","ENSMUST00000043716","8",0,"ENSMUSG00000021276"
"315","chr13",46669351,46669492,142,"*",".",728,".",1.51,1.75,46669352,46669492,23.07868,46669350,46669486,29.49694,"Promoter",13,46669522,46678056,8535,1,"97863","ENSMUST00000099547","3",-30,"ENSMUSG00000069237"
"316","chr14",29968142,29968372,231,"*",".",766,".",1.65,1.85,29968141,29968357,23.07868,29968158,29968372,36.00135,"Promoter",14,29968308,29975662,7355,1,"80795","ENSMUST00000112268","2",0,"ENSMUSG00000042682"
"317","chr17",46110925,46111044,120,"*",".",666,".",1.27,1.61,46110924,46111042,23.07868,46110934,46111044,25.84946,"Promoter",17,46110986,46128910,17925,1,"68565","ENSMUST00000024763","9",0,"ENSMUSG00000023967"
"318","chr19",6909952,6910192,241,"*",".",719,".",1.48,1.73,6909971,6910187,23.07868,6909951,6910192,28.47508,"Promoter",19,6906697,6909978,3282,2,"54683","ENSMUST00000145300","1",0,"ENSMUSG00000024953"
"319","chr2",106003216,106003387,172,"*",".",757,".",1.62,1.82,106003232,106003337,23.07868,106003215,106003387,41.23689,"Promoter",2,105966784,106003263,36480,2,"99349","ENSMUST00000124163","7",0,"ENSMUSG00000027166"
"320","chr3",87525446,87525691,246,"*",".",758,".",1.62,1.83,87525490,87525691,23.07868,87525445,87525686,37.29482,"Promoter",3,87525578,87540142,14565,1,"27049","ENSMUST00000170036","7",0,"ENSMUSG00000003382"
"321","chr5",73292733,73292852,120,"*",".",639,".",1.18,1.54,73292732,73292839,23.07868,73292735,73292852,24.87696,"Promoter",5,73292784,73313957,21174,1,"68095","ENSMUST00000071081","12",0,"ENSMUSG00000029152"
"322","chr5",121204411,121204558,148,"*",".",747,".",1.58,1.8,121204419,121204530,23.07868,121204410,121204558,32.18621,"Promoter",5,121204481,121209241,4761,1,"19988","ENSMUST00000031617","12",0,"ENSMUSG00000029614"
"323","chr6",83109001,83109140,140,"*",".",693,".",1.38,1.67,83109002,83109124,23.07868,83109000,83109140,27.07493,"Promoter",6,83109040,83109939,900,1,"68499","ENSMUST00000113938","4",0,"ENSMUSG00000030037"
"324","chr8",13104788,13104963,176,"*",".",730,".",1.51,1.76,13104793,13104948,23.07868,13104787,13104963,29.70004,"Promoter",8,13079896,13104831,24936,2,"234069","ENSMUST00000166881","1",0,"ENSMUSG00000038542"
"325","chr9",20459947,20460074,128,"*",".",678,".",1.31,1.63,20459951,20460074,23.07868,20459946,20460052,26.06316,"Promoter",9,20435030,20459957,24928,2,"22688","ENSMUST00000098970","9",0,"ENSMUSG00000063108"
"326","chr9",79759695,79759902,208,"*",".",649,".",1.21,1.56,79759708,79759868,23.07868,79759694,79759902,24.87696,"Promoter",9,79755361,79759878,4518,2,"12866","ENSMUST00000034881","7",0,"ENSMUSG00000032330"
"327","chr11",4986811,4986942,132,"*",".",739,".",1.55,1.78,4986823,4986938,23.0643,4986810,4986942,30.93719,"Promoter",11,4986824,5042729,55906,1,"11764","ENSMUST00000109897","7",0,"ENSMUSG00000009090"
"328","chr10",122894359,122895922,1564,"*",".",736,".",1.53,1.77,122894553,122895329,23.06177,122894358,122895922,47.86283,"Promoter",10,122895368,122941449,46082,1,"319468","ENSMUST00000162969","1",0,"ENSMUSG00000034613"
"329","chr11",6625998,6626168,171,"*",".",712,".",1.46,1.72,6626057,6626165,23.06177,6625997,6626168,28.36758,"Promoter",11,6615598,6626043,10446,2,"21379","ENSMUST00000156969","7",0,"ENSMUSG00000000384"
"330","chr2",11778408,11778532,125,"*",".",679,".",1.31,1.64,11778408,11778532,23.06177,11778407,11778528,26.06316,"Promoter",2,11778491,11790325,11835,1,"320816","ENSMUST00000056108","11",0,"ENSMUSG00000047909"
"331","chr4",124714674,124714890,217,"*",".",715,".",1.47,1.72,124714690,124714846,23.06177,124714673,124714890,28.47508,"Promoter",4,124714776,124732460,17685,1,"75062","ENSMUST00000030734","4",0,"ENSMUSG00000028902"
"332","chr4",155803451,155803662,212,"*",".",755,".",1.61,1.82,155803450,155803623,23.06177,155803483,155803662,39.52094,"Promoter",4,155803521,155808831,5311,1,"66448","ENSMUST00000030942","12",0,"ENSMUSG00000029066"
"333","chr7",140856255,140856443,189,"*",".",741,".",1.56,1.78,140856262,140856434,23.06177,140856254,140856443,31.30377,"Promoter",7,140818087,140856331,38245,2,"54399","ENSMUST00000209690","1",0,"ENSMUSG00000110136"
"334","chr13",9093695,9093946,252,"*",".",739,".",1.55,1.78,9093743,9093946,23.01737,9093694,9093922,31.27016,"Promoter",13,9093881,9173988,80108,1,"217980","ENSMUST00000188211","7",0,"ENSMUSG00000033499"
"335","chr8",107588397,107588562,166,"*",".",589,".",1,1.42,107588418,107588532,23.07868,107588396,107588562,22.89543,"Promoter",8,107580381,107588464,8084,2,"17463","ENSMUST00000044106","5",0,"ENSMUSG00000039067"
"336","chr11",69671220,69671534,315,"*",".",631,".",1.14,1.52,69671247,69671534,22.8486,69671219,69671402,23.96549,"Promoter",11,69670248,69671222,975,2,"13681","ENSMUST00000145289","1",0,"ENSMUSG00000059796"
"337","chr12",87266234,87266744,511,"*",".",708,".",1.44,1.71,87266270,87266724,22.66769,87266233,87266744,28.19545,"Promoter",12,87238873,87266256,27384,2,"104799","ENSMUST00000072744","14",0,"ENSMUSG00000021038"
"338","chr1",75210705,75210908,204,"*",".",754,".",1.6,1.82,75210742,75210889,22.44205,75210704,75210908,36.20354,"Promoter",1,75210838,75215606,4769,1,"20872","ENSMUST00000027401","10",0,"ENSMUSG00000026201"
"339","chr15",80264272,80264420,149,"*",".",742,".",1.56,1.79,80264282,80264397,22.44205,80264271,80264420,43.56119,"Promoter",15,80260615,80264315,3701,2,"66538","ENSMUST00000052499","8",0,"ENSMUSG00000051518"
"340","chr1",9545193,9545479,287,"*",".",702,".",1.43,1.69,9545221,9545474,22.39355,9545192,9545479,27.33109,"Promoter",1,9545408,9547455,2048,1,"59014","ENSMUST00000072079","8",0,"ENSMUSG00000061024"
"341","chr1",87213788,87214065,278,"*",".",753,".",1.59,1.81,87213806,87214026,22.39355,87213787,87214065,37.87447,"Promoter",1,87213914,87226607,12694,1,"26987","ENSMUST00000113232","7",0,"ENSMUSG00000026254"
"342","chr10",83648631,83648917,287,"*",".",743,".",1.57,1.79,83648653,83648893,22.39355,83648630,83648917,32.31923,"Promoter",10,83600033,83648738,48706,2,"216190","ENSMUST00000020500","13",0,"ENSMUSG00000020263"
"343","chr10",111972575,111972847,273,"*",".",704,".",1.43,1.7,111972580,111972822,22.39355,111972574,111972847,52.7806,"Promoter",10,111972664,111988432,15769,1,"52705","ENSMUST00000163048","7",0,"ENSMUSG00000063334"
"344","chr17",33940295,33940550,256,"*",".",740,".",1.55,1.78,33940301,33940403,22.39355,33940294,33940550,31.78827,"Promoter",17,33938821,33940343,1523,2,"14976","ENSMUST00000025163","13",0,"ENSMUSG00000024309"
"345","chr15",78514561,78514984,424,"*",".",751,".",1.59,1.81,78514702,78514968,22.32364,78514560,78514984,34.97668,"Distal Intergenic",15,78523348,78529592,6245,2,"72709","ENSMUST00000229185","1",14608,"ENSMUSG00000022440"
"346","chr11",48817308,48817532,225,"*",".",751,".",1.59,1.81,48817339,48817532,22.16197,48817307,48817522,36.00135,"Promoter",11,48806404,48817353,10950,2,"211007","ENSMUST00000047145","13",0,"ENSMUSG00000040365"
"347","chr18",12971962,12972560,599,"*",".",745,".",1.57,1.79,12972061,12972316,22.16197,12971961,12972560,41.23689,"Promoter",18,12972272,12984344,12073,1,"16210","ENSMUST00000234369","1",0,"ENSMUSG00000024423"
"348","chr5",149184506,149184706,201,"*",".",726,".",1.51,1.75,149184505,149184703,22.15878,149184527,149184706,46.35109,"Promoter",5,149184560,149215434,30875,1,"231915","ENSMUST00000050472","15",0,"ENSMUSG00000041264"
"349","chr8",27128643,27128831,189,"*",".",592,".",1.01,1.43,27128670,27128794,22.03387,27128642,27128831,22.58077,"Promoter",8,27123364,27128680,5317,2,"66653","ENSMUST00000033877","5",0,"ENSMUSG00000031487"
"350","chr15",76538708,76538932,225,"*",".",677,".",1.3,1.63,76538737,76538932,21.97629,76538707,76538889,26.04858,"Promoter",15,76535721,76538735,3015,2,"30840","ENSMUST00000023219","8",0,"ENSMUSG00000022559"
"351","chr2",34826156,34826313,158,"*",".",750,".",1.58,1.81,34826155,34826313,21.97629,34826168,34826308,36.77415,"Promoter",2,34805339,34826235,20897,2,"30050","ENSMUST00000091020","9",0,"ENSMUSG00000035949"
"352","chr3",88685643,88685924,282,"*",".",725,".",1.51,1.75,88685682,88685924,21.97629,88685642,88685872,29.70004,"Promoter",3,88685803,88712924,27122,1,"74200","ENSMUST00000029696","10",0,"ENSMUSG00000028060"
"353","chr4",21847941,21848069,129,"*",".",710,".",1.45,1.71,21847961,21848059,21.97629,21847940,21848069,28.36758,"Promoter",4,21848048,21873755,25708,1,"66625","ENSMUST00000185001","7",0,"ENSMUSG00000028248"
"354","chr4",118620750,118620904,155,"*",".",728,".",1.51,1.75,118620754,118620854,21.97629,118620749,118620904,30.2155,"Promoter",4,118554551,118620777,66227,2,"68625","ENSMUST00000071972","10",0,"ENSMUSG00000028730"
"355","chr4",148448281,148448470,190,"*",".",747,".",1.58,1.8,148448314,148448423,21.97629,148448280,148448470,38.59873,"Promoter",4,148448611,148454969,6359,1,"56717","ENSMUST00000123566","7",-141,"ENSMUSG00000028991"
"356","chr4",155248978,155249640,663,"*",".",606,".",1.05,1.46,155249282,155249564,21.97629,155248977,155249640,23.03462,"Promoter",4,155249802,155256419,6618,1,"67513","ENSMUST00000126803","7",-162,"ENSMUSG00000073684"
"357","chr7",5014298,5014891,594,"*",".",657,".",1.24,1.58,5014636,5014889,21.97629,5014297,5014891,25.0329,"Promoter",7,5007059,5014678,7620,2,"23877","ENSMUST00000077385","14",0,"ENSMUSG00000061374"
"358","chr12",84361866,84362044,179,"*",".",727,".",1.51,1.75,84361892,84362036,21.88622,84361865,84362044,30.63726,"Promoter",12,84361968,84373796,11829,1,"217707","ENSMUST00000021661","12",0,"ENSMUSG00000021235"
"359","chr2",126675194,126675357,164,"*",".",706,".",1.44,1.7,126675235,126675342,21.88622,126675193,126675357,28.36758,"Promoter",2,126652326,126675339,23014,2,"14391","ENSMUST00000130263","1",0,"ENSMUSG00000027361"
"360","chr2",150608506,150608634,129,"*",".",648,".",1.21,1.56,150608505,150608629,21.88622,150608512,150608634,24.87696,"Promoter",2,150583080,150608567,25488,2,"71881","ENSMUST00000046399","6",0,"ENSMUSG00000033096"
